experiment	agent_iteration	commit	time_us	status	description
1	0	HEAD	3430.17	keep	Baseline 'starting_point' — initial benchmark
2	1	HEAD	2064.97	keep	**
3	2	HEAD	2007.59	keep	**
4	3	HEAD	615.79	keep	**
5	4	HEAD	487.13	keep	** Changed both GEMMs to use GQA-aware grouping along the sequence dimension instead of expanding V.
6	5	HEAD	1833.86	discard	** Replaced the two-step (BMM → Triton softmax-bwd) pipeline with a single `fused_softmax_bwd_kernel
7	6	HEAD	0.00	crash	**
8	7	HEAD	601.48	discard	** Added a new `softmax_bwd_single_pass_kernel` that launches one Triton program per `(batch, head, 
9	8	HEAD	464.59	keep	** Replaced the two separate kernels (`softmax_bwd_single_pass_kernel` and `softmax_bwd_large_block_
10	9	HEAD	0.00	crash	** Replaced the `softmax_bwd_kernel` (which read dP from HBM) with a new `fused_softmax_bwd_kernel` 
11	10	HEAD	518.09	discard	Added CUDA stream parallelism — GEMM1 (dP = dO_gqa @ V_gqa^T) runs on stream1 and GEMM2 (dV = P_drop
12	11	HEAD	413.40	keep	Worker implementation
13	12	HEAD	0.00	crash	Replaced the two-kernel approach (cuBLAS BMM for dP → HBM → Triton softmax-bwd) with a single `fused
14	13	HEAD	713.14	discard	** Replaced the two-kernel approach (GEMM→dP_HBM→softmax_bwd) with a single `fused_ds_kernel` Triton
15	14	HEAD	680.62	discard	Expanded the @triton.autotune configs from 12 to 40 configurations, adding: (a) num_warps=16 configs
16	15	HEAD	764.63	discard	** Replaced the `mask_ptr` parameter (bool tensor) with `Pd_ptr` (P_dropped, bf16 tensor) in `fused_
17	16	HEAD	0.00	crash	** Added a `SINGLE_PASS: tl.constexpr` parameter to `fused_ds_kernel` that branches between:
18	17	HEAD	4880.70	discard	Replaced the two-kernel approach (separate dP GEMM + softmax_bwd_kernel) with a single fused_softmax
19	18	HEAD	3453.73	discard	** Three targeted changes to the Triton kernel and host code:
20	19	HEAD	0.00	crash	**
21	20	HEAD	408.02	keep	**
22	21	HEAD	421.82	discard	** Added a `_make_dO_gqa_contiguous()` helper that uses `torch.as_strided` to create a 5D non-contig
23	22	HEAD	436.34	discard	**
24	23	HEAD	770.47	discard	** Replaced the two-stage approach (cuBLAS GEMM1 for dP → Triton softmax_bwd) with a single `fused_d
25	24	HEAD	0.00	crash	** Rewrote the fused Triton kernel to:
26	25	HEAD	421.75	discard	** Rewrote `softmax_bwd_kernel` to accept `Pd_ptr` (attn_weights_dropped, bf16) instead of `mask_ptr
27	26	HEAD	498.79	discard	**
28	27	HEAD	5730.47	discard	** Restructured GEMM1 (computing dP) to use `dO_5d` in its native `[bs, seq_q, n_kv_heads, n_groups,
29	28	HEAD	690.75	discard	** Replaced the separate GEMM1 + `softmax_bwd_kernel` with a single `fused_softmax_bwd_kernel` that:
30	29	HEAD	852.35	discard	** Rewrote `submission.py` to:
31	30	HEAD	744.50	discard	** Replaced `grad_attn_output.permute(0, 2, 1, 3).contiguous()` with a custom Triton `transpose_dO_k
32	31	HEAD	0.00	crash	** Replaced the separate GEMM1 (cuBLAS BMM writing `dP_raw` to HBM) + `softmax_bwd_kernel` (reading 
33	32	HEAD	0.00	crash	** Split the single combined `softmax_bwd_kernel` into two separate kernels:
34	33	HEAD	436.07	discard	** Added `attn_weights_dropped` (`P_drop`/`Pd`) as a new kernel parameter. In pass 1 (rowsum), the k
35	34	HEAD	0.00	crash	** Replaced the separate `softmax_bwd_kernel` (which consumed pre-computed `dP_raw` from HBM) with a
36	35	HEAD	910.23	discard	** Removed the entire `softmax_bwd_kernel` Triton kernel and its autotune configuration. Added a `_s
37	36	HEAD	882.62	discard	** Changed the stream scheduling order and structure. GEMM2 is launched first on stream2 (it's indep
38	37	HEAD	884.03	discard	Changed `mode="reduce-overhead"` to `mode="max-autotune"` in the `torch.compile` call for `_softmax_
